Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-11-05,485.0710977010681,488.60316880083315,482.71638363455804,487.4258117675781,23219000,0.0,0.0
2004-11-08,488.60321382339816,488.60321382339816,478.00699954771,479.1843566894531,17765500,0.0,0.0
2004-11-09,481.5389709472657,485.0710416388104,480.3616140500841,481.5389709472656,21709000,0.0,0.0
2004-11-10,482.71628585516237,483.89364264993105,479.1842154708563,480.361572265625,15993500,0.0,0.0
2004-11-11,485.07110024438117,486.2484572838093,476.8296009683844,478.0069580078125,21591500,0.0,0.0
2004-11-12,479.1841888056474,483.8936157226562,478.0068320763952,483.89361572265625,27717000,0.0,0.0
2004-11-15,488.60308054825674,490.9577941894532,487.4257237276585,490.9577941894531,25910500,0.0,0.0
2004-11-16,490.95781340965857,493.3125271430382,488.6030996762789,489.78045654296875,13920500,0.0,0.0
2004-11-17,486.24840988531344,487.42576680997524,480.36162526200457,482.7163391113281,20439500,0.0,0.0
2004-11-18,478.00683215119994,480.3615456100729,469.7653350451448,474.4747619628906,33094500,0.0,0.0
2004-11-19,475.65210720081234,476.82946390180444,470.9426803968439,473.2973937988281,22884500,0.0,0.0
2004-11-22,461.52387257111377,465.0559430244641,456.8144452999799,459.1691589355469,41193000,0.0,0.0
2004-11-23,459.1691589355469,459.1691589355469,459.1691589355469,459.1691589355469,0,0.0,0.0
2004-11-24,460.3464660644531,462.701179445857,457.9917526830493,460.3464660644531,27856500,0.0,0.0
2004-11-25,457.9918021177634,462.7012293888972,455.6370884821965,459.1691589355469,26223500,0.0,0.0
2004-11-26,461.52382275515504,462.701179445857,457.9917526830493,460.3464660644531,24364500,0.0,0.0
2004-11-29,459.1692725979552,462.70134392563176,457.99191548872966,461.52398681640625,30052000,0.0,0.0
2004-11-30,460.3462843030228,461.52364052886173,454.4595031738281,454.4595031738281,47611500,0.0,0.0
2004-12-01,453.28239500991947,454.4597518800751,445.04089691883,448.5729675292969,47120500,0.0,0.0
2004-12-02,454.4597585909742,455.6371154785156,450.92768792835005,455.6371154785156,42390000,0.0,0.0
2004-12-03,459.1691589355469,460.3465157533303,456.8144452999799,459.1691589355469,26236000,0.0,0.0
2004-12-06,456.81448850308016,456.81448850308016,449.75034692829024,450.9277038574219,19466500,0.0,0.0
2004-12-07,453.2824679070118,454.4598249665105,448.57303966901685,449.7503967285156,20072500,0.0,0.0
2004-12-08,448.57295525934273,457.991809962951,447.3955984213917,456.814453125,28939000,0.0,0.0
2004-12-09,459.169166800902,460.34652363885306,453.2823826111469,456.814453125,36570000,0.0,0.0
2004-12-10,450.92772621055707,454.4597971730418,450.92772621055707,453.2824401855469,69445000,0.0,0.0
2004-12-13,457.9918021177634,461.52387257111377,456.8144452999799,459.1691589355469,41804000,0.0,0.0
2004-12-14,465.0559534823386,470.94273770363407,462.7012397938205,469.765380859375,50976500,0.0,0.0
2004-12-15,474.47476196289057,476.8294754217635,473.2974052334541,474.4747619628906,35929500,0.0,0.0
2004-12-16,470.94268798828125,474.47475814819336,468.58797454833984,470.94268798828125,28180500,0.0,0.0
2004-12-17,472.1199689808459,479.1841081675917,470.9426124497216,475.65203857421875,21757000,0.0,0.0
2004-12-20,474.47475049982023,475.65210720081234,472.120037097836,473.2973937988281,19594000,0.0,0.0
2004-12-21,475.6520385742188,480.361464698716,474.4746820430945,475.65203857421875,23090500,0.0,0.0
2004-12-22,479.1843150472406,481.53902912609686,478.0069580078125,478.0069580078125,17818000,0.0,0.0
2004-12-23,478.0069580078125,478.0069580078125,478.0069580078125,478.0069580078125,0,0.0,0.0
2004-12-24,482.71645258931284,486.24852419362486,482.71645258931284,485.0711669921875,19511500,0.0,0.0
2004-12-27,486.2484547343231,488.60316880083315,485.0710977010681,487.4258117675781,12402000,0.0,0.0
2004-12-28,482.71645258931284,485.0711669921875,481.5390953878755,485.0711669921875,14975500,0.0,0.0
2004-12-29,489.7803301868946,490.9576867498439,486.2482604980468,486.2482604980469,15779000,0.0,0.0
2004-12-30,488.60308054825674,490.9577941894532,487.4257237276585,490.9577941894531,10743000,0.0,0.0
2004-12-31,490.9577941894532,490.9577941894532,490.9577941894532,490.9577941894531,0,0.0,0.0
2005-01-03,490.9577941894532,490.9577941894532,490.9577941894532,490.9577941894531,0,0.0,0.0
2005-01-04,488.60317448207314,495.66731676374167,487.42581743512835,494.4899597167969,20892500,0.0,0.0
2005-01-05,495.6671365393213,496.84449315817955,487.42564020731356,488.6029968261719,33148500,0.0,0.0
2005-01-06,488.60310301860363,495.66724426706537,488.60310301860363,493.3125305175781,23757000,0.0,0.0
2005-01-07,495.6671365393213,495.6671365393213,487.42564020731356,488.6029968261719,31411500,0.0,0.0
2005-01-10,488.6029968261718,488.6029968261718,488.6029968261718,488.6029968261719,0,0.0,0.0
2005-01-11,492.1352456229074,495.66731676374167,490.9578885759626,494.4899597167969,31953500,0.0,0.0
2005-01-12,492.1350666827466,493.31242330160484,487.42564020731356,488.6029968261719,24997500,0.0,0.0
2005-01-13,483.8938097907502,487.4258813950622,482.71645258931284,485.0711669921875,23533500,0.0,0.0
2005-01-14,482.7162137318806,490.9577100638883,480.3615004941641,488.6029968261719,29292000,0.0,0.0
2005-01-17,485.0711669921875,489.78059579793694,485.0711669921875,485.0711669921875,16079500,0.0,0.0
2005-01-18,487.4256859104128,488.60304263966503,481.53890226415183,483.89361572265625,24591500,0.0,0.0
2005-01-19,485.0710416388104,487.42575543317355,481.5389709472657,481.5389709472656,12877500,0.0,0.0
2005-01-20,479.1841081675917,480.361464698716,474.4746820430945,475.65203857421875,17391000,0.0,0.0
