accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,D,25,E03555,銀行業,株式会社武蔵野銀行,83360
JP,S,83,E05313,不動産業,株式会社毎日コムネット,89080
JP,C,50,E23250,銀行業,株式会社池田泉州ホールディングス,87140
JP,B,60,E02363,その他製品,株式会社河合楽器製作所,79520
JP,A,70,E35125,小売業,株式会社浜木綿,76820
JP,C,40,E31367,小売業,株式会社海帆,31330
JP,S,88,E01247,鉄鋼,株式会社淀川製鋼所,54510
JP,A,70,E00120,建設業,株式会社淺沼組,18520
JP,C,45,E03572,銀行業,株式会社清水銀行,83640
JP,C,58,E00389,食料品,株式会社湖池屋,22260
JP,D,30,E03575,銀行業,株式会社滋賀銀行,83660
JP,B,65,E03374,小売業,株式会社焼肉坂井ホールディングス,26940
JP,S,88,E03528,小売業,株式会社物語コーポレーション,30970
JP,S,93,E03193,小売業,株式会社王将フードサービス,99360
JP,D,30,E03602,銀行業,株式会社琉球銀行,83990
JP,B,65,E01677,機械,株式会社瑞光,62790
JP,C,55,E05510,情報・通信業,株式会社環境フレンドリーホールディングス,37770
JP,A,75,E04972,サービス業,株式会社環境管理センター,46570
JP,B,60,E01050,化学,株式会社田中化学研究所,40800
JP,A,73,E04754,サービス業,株式会社白洋舍,97310
JP,A,70,E30504,小売業,株式会社白鳩,31920
JP,D,30,E03588,銀行業,株式会社百十四銀行,83860
JP,S,88,E02047,機械,株式会社石井表記,63360
JP,C,45,E01518,機械,株式会社石川製作所,62080
JP,S,80,E01428,その他製品,株式会社研創,79390
JP,S,93,E02999,卸売業,株式会社神戸物産,30380
JP,C,45,E03567,銀行業,株式会社福井銀行,83620
JP,S,85,E00196,建設業,株式会社福田組,18990
JP,B,65,E00344,水産・農林業,株式会社秋川牧園,13800
JP,D,25,E03546,銀行業,株式会社秋田銀行,83430
JP,S,90,E01451,金属製品,株式会社稲葉製作所,34210
JP,S,85,E02678,卸売業,株式会社立花エレテック,81590
JP,S,100,E01723,機械,株式会社竹内製作所,64320
JP,A,78,E38969,サービス業,株式会社笑美面,92370
JP,S,88,E02824,卸売業,株式会社第一興商,74580
JP,D,30,E34113,銀行業,株式会社第四北越フィナンシャルグループ,73270
